epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,747.542,1.52226,3.53098,1.16284,0.01694,0.96356,0.2128,0.17615,1.07896,3.43184,0.96149,0.00140915,0.000469718,0.00140915,0.000469718,0.00140915,0.000469718,0.00140915,0.000469718
2,1158.82,1.3382,2.30801,1.01957,0.87053,0.40305,0.55445,0.40647,1.12312,1.78611,0.95436,0.00274449,0.000914831,0.00274449,0.000914831,0.00274449,0.000914831,0.00274449,0.000914831
3,1476.86,1.25374,1.3994,0.98355,0.50715,0.57541,0.60519,0.44418,1.12623,1.45808,0.97884,0.00398552,0.00132851,0.00398552,0.00132851,0.00398552,0.00132851,0.00398552,0.00132851
4,1783.08,1.20264,1.13891,0.98788,0.77893,0.66701,0.70893,0.49483,1.10311,1.38269,0.97404,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
5,2087.94,1.16801,1.04384,0.97264,0.83603,0.71746,0.79142,0.5309,1.08703,1.27204,0.95219,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037
6,2391.53,1.13924,1.04165,0.96615,0.68878,0.8649,0.8405,0.55317,1.05871,1.19985,0.9416,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322
7,2695.19,1.12098,0.95036,0.95827,0.8087,0.78974,0.87383,0.59889,1.03543,1.10524,0.93551,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
8,2998.25,1.10059,0.94443,0.95814,0.89721,0.79661,0.91656,0.64757,1.0076,1.0664,0.92163,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
9,3303.09,1.08033,0.91008,0.9494,0.85204,0.93447,0.94093,0.67118,0.99827,1.00794,0.91383,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
10,3610.47,1.0862,0.87396,0.94889,0.92933,0.86867,0.95565,0.67163,1.00103,1.01016,0.9163,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
11,3917.5,1.06198,0.8491,0.94283,0.82537,0.90999,0.92787,0.65296,1.00933,1.01629,0.91245,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
12,4222.75,1.04822,0.83395,0.94106,0.84109,0.87167,0.9135,0.64686,0.98836,1.0274,0.92031,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
